Ano;Mês;Indicador;Descrição;Município;UF;Prestadora;Resultado;Número de Coletores;Número de Medidas;Limite Inferior;Limite Superior;data
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;vivo;92,00;38397;68074;91,7197;92,2800;2022-10-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;tim;96,06;10459;35544;95,6681;96,4434;2022-12-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;claro;95,99;14040;58319;95,6866;96,2919;2022-05-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;93,54;17838;62184;93,2470;93,8332;2022-11-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;92,14;22395;85593;91,8862;92,3858;2022-08-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;claro;95,67;5182;18768;95,1400;96,2069;2022-08-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;tim;96,26;10243;40261;95,8988;96,6272;2022-10-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;93,52;6276;24333;93,0505;93,9876;2022-06-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;tim;96,42;8831;31248;96,0023;96,8292;2022-04-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;94,18;619;2336;92,6659;95,6902;2022-03-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;vivo;94,19;4616;29408;93,7594;94,6118;2022-09-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;92,06;20773;78430;91,8032;92,3252;2022-07-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;93,10;14345;51419;92,7755;93,4201;2022-09-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;92,17;14784;45231;91,8276;92,5149;2022-04-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;claro;95,52;1657;6029;94,5803;96,4629;2022-05-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;tim;96,41;12287;50812;96,0880;96,7365;2022-09-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;vivo;88,87;19270;55584;88,5573;89,1772;2022-12-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;claro;96,23;7777;26156;95,7784;96,6822;2022-11-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;vivo;89,46;7914;16797;88,8953;90,0232;2022-04-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;tim;92,66;1904;6733;91,7650;93,5464;2022-05-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;vivo;92,26;2130;13342;91,6253;92,8908;2022-12-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;vivo;90,57;1912;13526;89,9452;91,2021;2022-08-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;vivo;88,45;19307;64563;88,1670;88,7423;2022-09-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;vivo;90,19;816;4485;89,0982;91,2808;2022-04-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;claro;81,86;10134;34947;81,4672;82,2491;2022-12-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;claro;94,64;408;1623;92,8254;96,4537;2022-04-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;tim;93,37;2295;8612;92,5836;94,1587;2022-09-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;vivo;91,26;526;2209;89,7079;92,8180;2022-03-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;vivo;90,24;1616;10716;89,5328;90,9449;2022-07-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;tim;94,67;2330;8440;93,8759;95,4670;2022-10-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;claro;82,98;9120;34850;82,5927;83,3757;2022-10-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;tim;92,34;1604;5150;91,3256;93,3624;2022-04-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belem;al;vivo;57,14;5;4;20,5999;93,6857;2022-04-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belem;al;tim;0,00;9;13;0,0000;20,2703;2022-12-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;tim;94,41;2587;9752;93,6713;95,1514;2022-11-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belem;al;tim;0,00;8;11;0,0000;22,0361;2022-11-28
